nombre,descripcion,precio,stock
Salsa Verde,"Tangy green salsa made with tomatillos, perfect for tacos.",3.49,1613
Rice Pilaf Mix,Quick and easy rice pilaf mix for side dishes.,2.59,8894
Safety Pin Dispenser,Handy dispenser for quick access to safety pins.,5.99,1085
Pet Training Clicker,Simple tool to train your pet with positive reinforcement.,5.99,2037
Puffer Winter Coat,A warm and stylish puffer coat perfect for winter weather.,99.99,4466
Educational STEM Kit,Hands-on experience with science and engineering projects.,35.99,4628
Chili Beans (canned),"Canned beans with chili sauce, perfect for chili dishes.",1.69,8254
Handmade Leather Journal,Beautiful leather-bound journal for writing and sketching.,39.99,583
Skincare Set,All-natural skincare set for daily use.,54.99,2650
Electric Ice Cream Maker,Make delicious ice cream at home with this user-friendly machine.,59.99,8439
Lentil Pasta,"Gluten-free pasta made from lentils, high in protein.",4.99,6256
Multi-Functional Rice Cooker,Electric rice cooker with multiple cooking settings for perfect rice.,49.99,4806
Pepperoni Pizza Roll-Ups,"Savory pizza filled with pepperoni and cheese, ready to microwave.",5.99,7561
Over-the-Door Hooks,Convenient hooks that utilize door space for hanging items.,12.99,2157
Pecan Nuts,"Nutty, crunchy pecans great for baking.",6.49,6724
Children's Gardening Set,Fun gardening tools designed specifically for kids.,19.99,4825
Cabbage Slaw Mix,Fresh cabbage and carrot slaw mix for salads.,2.29,413
Crew Neck Sweater,"A comfortable crew neck sweater, great for all seasons.",39.99,5490
Creamy Spinach Dip,"Deliciously creamy spinach dip, perfect for parties.",5.99,861
Lemon Lime Sparkling Water,Refreshing sparkling water with lemon and lime flavor,1.99,6508
Jigsaw Puzzle,500-piece jigsaw puzzle featuring beautiful scenery.,14.99,2646
Peach Salsa,Sweet and spicy salsa made with fresh peaches.,3.29,6041
Electric Toothbrush Holder,Sanitary holder that ensures your toothbrush stays clean.,14.99,5739
Coconut Yogurt,"Creamy yogurt made from coconut milk, dairy-free and delicious.",3.89,6967
Floral Summer Dress,Light and breezy dress perfect for summer outings with a vibrant floral pattern.,39.99,7171
Spicy Hummus,"Creamy hummus with a kick of spice, great for dipping.",3.49,578
Smart Plant Monitor,Device that tracks soil moisture and provides care tips.,24.99,3768
Freestanding Wine Rack,Stylish wine rack to store and display bottles.,79.99,6966
Chocolate Mint Cookies,Delicious cookies with rich chocolate flavor and a hint of mint.,2.29,9576
Underwater Camera,Waterproof camera for capturing underwater adventures.,199.99,8865
Garden Hoses with Expandable Features,"Lightweight, expandable hoses for easy handling.",34.99,3664
Electric Air Pump,Fast and convenient air pump for inflating toys and furniture.,29.99,3089
Smartphone Holder for Car,Secure phone mount for your vehicle's dashboard.,14.99,6263
Non-Stick Baking Sheet,Durable baking sheet coated for easy food release.,18.99,5924
Honey Roasted Peanuts,"Crunchy peanuts coated in honey, perfect for snacking.",3.19,2193
Coconut Cream Pie Yogurt,"Yogurt with the flavors of coconut cream pie, nice and indulgent.",1.99,5969
Whole Grain Cereal,"Healthy whole grain cereal, great for breakfast.",3.49,6402
Stylish Combat Boots,Bold combat boots that make a statement with any outfit.,99.99,8307
Hummus,"Creamy chickpea dip, perfect for veggies or pita.",4.29,720
Air Purifier,HEPA air purifier for clean indoor air.,129.99,7770
Glass Food Containers,BPA-free glass containers for safe food storage.,34.99,8088
Diced Tomatoes (canned),"Canned diced tomatoes, great base for sauces and soups.",1.49,261
Spicy Tuna Rolls,"The perfect seafood snack, ready to eat and delicious.",6.49,6790
Beef Taco Skillet,A convenient meal kit for making a delicious beef taco skillet at home.,8.49,4313
Rustic Wooden Picture Frame,Charming frame to showcase your favorite photos.,19.99,8720
Chocolate Fudge Brownie Mix,Just add water for delicious brownies.,2.99,5308
Spicy Garlic Edamame,"Steamed edamame tossed in a spicy garlic sauce, great for snacking.",3.99,3956
Essential Oil Roller Bottles,Set of roller bottles for blending and applying essential oils.,19.99,2470
Adjustable Stand for Tablets and Smartphones,Multi-angle stand for easy viewing of devices.,19.99,2920
Cranberry Lime Sparkling Water,Refreshing sparkling water infused with cranberry and lime flavors.,1.5,5184
Handheld Shower Head,Adjustable shower head for a luxurious shower experience.,34.99,852
Paint By Numbers Kit,Relaxing paint kit with pre-printed canvas for painting.,24.99,6939
Scented Candles,Set of three aromatic candles with various scents.,19.99,5397
Cinnamon Spiced Almonds,Crispy almonds coated with cinnamon and sugar for a sweet and crunchy snack.,5.99,9965
Digital Thermostat,Programmable digital thermostat for home heating.,59.99,4271
Almond Flour,"Gluten-free almond flour, perfect for baking.",5.99,4628
Sports Bottle,BPA-free sports bottle with flip-top lid.,15.99,9832
Personal Safety Alarm,Compact alarm for personal safety and security.,12.99,7919
Home Office Chair,Ergonomic office chair with lumbar support and adjustable height.,199.99,8019
Maple Almond Yogurt,Creamy yogurt made with maple and almond flavors.,1.89,5875
Honey Graham Crackers,Sweet and crunchy honey-flavored graham crackers.,3.29,7637
Memory Card,64GB SD memory card for cameras and devices.,15.99,8569
Spiralizer,Vegetable spiralizer for healthy meals.,22.99,4209
Chocolate Hazelnut Granola,Crunchy granola with chocolate and hazelnuts for breakfast.,4.49,8615
Portable Electric Fan,Compact fan for personal cooling at work or home.,24.99,9497
Graphic Sweatshirt,A comfortable sweatshirt featuring a bold graphic print.,34.99,5634
Phone Case,Rugged phone case for drop protection.,14.99,6855
Electric Stir Fry Pan,Large stir fry pan with non-stick surface.,49.99,8602
Silicone Cooking Utensils Set,Non-stick and heat-resistant utensils for cooking.,34.99,1137
Organic Chia Seeds,Nutritious chia seeds great for smoothies,7.99,5761
Sunglasses Case,Hard-shell case for protecting sunglasses.,15.99,8961
Backpacking Tent,Lightweight and durable tent for camping trips.,109.99,2868
Vanilla Bean Greek Yogurt,Smooth Greek yogurt infused with vanilla bean flavor.,1.99,5189
Hair Dryer,Compact hair dryer with multiple heat settings.,39.99,8352
Ground Cinnamon,Freshly ground cinnamon spice for baking or seasoning.,1.99,5864
Spicy Vegetable Sushi Rolls,Vegan sushi filled with spicy vegetables and avocado.,8.49,7954
Air Mattress,Inflatable air mattress for convenient sleeping.,49.99,2666
Travel Laundry Bag,Compact laundry bag for travel use.,9.99,3570
Samsung Galaxy Smartwatch,Stylish smartwatch with fitness tracking and notifications.,249.99,11
Outdoor Adventure Backpack,Durable backpack for hiking or travel.,59.99,4265
Portable Blender,Battery-operated blender for smoothies on the go.,30,488
Rechargeable Hand Warmer,Portable rechargeable warmer for cold days.,22.99,96
Children's Musical Instrument Set,Fun instruments to introduce kids to music.,39.99,8451
Portable Dog Water Bottle,Convenient water bottle for pets on the go.,18.99,510
Hot Dog Buns,Soft buns perfect for stuffing with your favorite hot dogs.,2.49,5016
Electric Griddle with Lid,"Non-stick griddle for pancakes, burgers, and more.",49.99,8663
Sparkling Blood Orange Soda,A refreshing sparkling beverage with a bold blood orange flavor.,1.99,2389
Chickpea Salad Deluxe,"Chickpeas mixed with fresh vegetables and herbs, a nutritious snack or salad.",4.29,7276
Spaghetti Squash,Low-carb vegetable for pasta alternatives.,3.99,1928
Salt and Pepper Grinder Set,Adjustable grinders for fresh spices at the table.,19.99,4071
Fitness Resistance Bands Set,Variety of bands suitable for all fitness levels.,34.99,8353
Chilli Lime Corn on the Cob,Corn on the cob seasoned with chili and lime for a spicy kick.,1.99,5980
LED Table Lamp,Modern LED table lamp with touch control.,29.99,4330
Lemon Herb Quinoa,"Fluffy quinoa mixed with lemon zest and herbs, a perfect side.",3.49,4445
Travel Jewelry Case,Portable case to organize and protect jewelry on trips.,24.99,3837
Car Sunshade,Windshield sunshade for car interior protection.,19.99,176
Children's Educational Workbook,Activity workbook for early learning and fun.,12.99,5616
Smoked Salmon,"Deliciously smoked salmon, great for bagels.",14.99,9252
Silicone Baking Molds,Set of flexible molds for baking cakes and pastries.,15.99,61
Berries Medley,"A mix of fresh raspberries, blueberries, and blackberries.",6.99,8027
Wrap Front Midi Skirt,"Elegant midi skirt with a wrap design, great for both formal and casual events.",44.99,3726
Coconut Cream,"Rich cream extracted from coconut milk, ideal for desserts.",2.99,9780
Protein Bar Variety Pack,A pack of assorted nut and protein bars for a quick energy boost.,12.99,575
Trackpad for Laptop,Wireless trackpad for enhanced laptop navigation.,49.99,7873
Reclining Camping Chair,Foldable reclining camping chair with cup holder.,49.99,7977
Oven-Baked Potato Chips,Light and crispy baked potato chips in assorted flavors.,2.79,4060
Portable Jump Starter,Compact jump starter for emergency vehicle starts.,59.99,952
Collapsible Folding Chair,Lightweight and portable chair for camping or events.,29.99,1736
Outdoor Camping Lantern,Rechargeable LED lantern ideal for camping and outdoor activities.,34.99,6551
Drone,Beginner-friendly drone with HD camera.,249.99,7202
Hummus Variety Pack,"A selection of different flavored hummus, great for snacking.",5.99,6922
Organic Apples,Crisp and delicious organic apples.,1.89,9803
Pet Leash,Durable pet leash with comfortable handle.,15.99,8472
Cotton Quilted Throw Blanket,Cozy throw blanket perfect for adding warmth to your home.,39.99,7955
3D Night Light,Color-changing 3D night light for kids' rooms.,19.99,6655
Survival Gear Kit,Essential survival gear kit for emergencies.,59.99,8414
Dark Chocolate Covered Almonds,Roasted almonds dipped in rich dark chocolate.,7.19,6244
Microfiber Cleaning Cloths,Pack of ultra-soft microfiber cloths for cleaning.,9.99,1721
Cranberry Almond Cookies,Delicious cookies with cranberries and almonds in every bite.,4.29,4369
Solar String Lights,Eco-friendly string lights for outdoor decor.,29.99,6936
Raspberry Tart,A delicious tart filled with fresh raspberry filling.,5.49,9726
Fresh Cilantro,"Bright and fragrant cilantro, great for garnishes.",1.49,6910
Outdoor String Lights,Fairy lights perfect for decorating patios and backyards.,24.99,3939
Motion Sensor Light,Battery-operated motion sensor light for safety.,19.99,6243
Home Office Chair,Ergonomic office chair with lumbar support and adjustable height.,199.99,6205
Matcha Green Tea Powder,High-quality matcha for making traditional tea or lattes.,14.99,6561
Pasta Sauce Mix,Just add water for a quick pasta sauce.,1.29,4906
Rice Pudding,Creamy dessert made with rice and cinnamon.,2.29,3692
Chewy Granola Bars,Oats and honey bars with a chewy texture and nutty flavor.,3.49,3843
Toilet Paper (12 rolls),Soft and strong toilet paper for everyday use.,8.99,2276
Rechargeable Electric Screwdriver,Convenient electric screwdriver for DIY projects at home.,39.99,1155
Outdoor Adventure Kit,Complete outdoor kit for camping and hiking.,89.99,6220
Travel Document Organizer,"Organize travel documents, passport, and cards.",15.99,2035
Silicone Wine Glasses,Durable and shatterproof silicone glasses for outdoor use.,22.99,8990
Organic Black Beans,"Versatile canned black beans, ready to add to any dish.",1.29,6425
Honey Nut Cheerios,Classic cereal made with whole grains and honey.,4.29,6783
Glass Water Bottle,Borosilicate glass water bottle with silicone sleeve.,25.99,3731
Beef Enchilada Casserole,Hearty casserole with beef and enchilada sauce.,8.99,5342
Microfiber Cleaning Cloths,Pack of ultra-soft microfiber cloths for cleaning.,9.99,5500
Party Mini Dress,"Eye-catching mini dress with sequins, ideal for party nights out.",69.99,1239
Pepperoni Pizza Rolls,"Savory pizza rolls filled with pepperoni and cheese, ready to bake and enjoy in minutes.",6.99,4438
Electric Meat Grinder,Powerful grinder for making sausage and burgers at home.,89.99,6701
Camera Lens Cleaning Kit,Complete cleaning kit for camera lenses.,14.99,224
Watercolor Set,Complete watercolor set with paints and brushes.,19.99,2703
Nature Explorer Lens Kit,Magical lens kit for kids to explore the outdoors.,19.99,6042
Mushrooms,"Fresh button mushrooms, great for cooking.",2.99,6863
Rolling Cooler,Wheeled cooler for transporting drinks and snacks.,59.99,1884
Chiffon Blouse,Elegant chiffon blouse perfect for work or outings.,39.99,5254
Bamboo Memory Foam Pillow,Ergonomically designed pillow with breathable bamboo cover.,34.99,848
Casual Sneakers,Versatile canvas sneakers suitable for everyday wear with a comfortable fit.,39.99,345
Ceramic Knife Set,Set of ceramic knives for precision slicing.,39.99,6672
Insulated Wine Tote,Stylish tote to keep wine bottles chilled while traveling.,24.99,5434
Solar String Lights,Eco-friendly string lights for outdoor decor.,29.99,8643
Peach & Mango Salsa,"A zesty salsa made with peaches and mangos, great for chips.",4.49,4220
Sweet Cherry Tomatoes,Fresh and juicy cherry tomatoes for salads and snacking.,2.99,3143
Fresh Basil,"Aromatic fresh basil, perfect for Italian cooking.",1.99,8170
Almond Butter Cups,"Rich chocolate cups filled with almond butter, a delicious treat.",3.29,4579
Elegant Lace Dress,A stunning lace dress perfect for special occasions.,79.99,1771
Smart Wi-Fi Light Bulbs,Energy-efficient LED bulbs that can be controlled via smartphone.,19.99,4499
Multi-Function Smartphone Holder,"Versatile holder that can be used on desks, cars, and more.",12.99,7925
Frozen Hash Browns,"Shredded potatoes, perfect for breakfasts.",2.99,1795
Sea Salt Caramel Brownie,Moist brownie topped with sea salt and caramel drizzle.,2.49,7217
Electronic Drum Kit,Compact electronic drum kit for musicians of all levels.,359.99,7563
Memory Foam Mattress Pad,Extra layer of comfort for your mattress.,69.99,7420
Wireless Mouse,Ergonomic wireless mouse with adjustable DPI.,25.99,4142
Thai Red Curry Paste,Spicy and flavorful curry paste for authentic Thai dishes.,3.99,2046
Lockable Bicycle Chain,Heavy-duty chain lock for securing bicycles.,19.99,8659
Maple Cinnamon Granola Bars,Chewy granola bars with maple and cinnamon flavor.,3.49,8426
DIY Candle Kit,Everything you need to make your own scented candles at home.,34.99,3957
Energy Bites,Healthy energy bites made with oats and natural sweeteners.,3.99,2418
Outdoor String Lights,Fairy lights perfect for decorating patios and backyards.,24.99,2479
Multi-Cooker,Versatile multi-cooker for pressure cooking and slow cooking.,89.99,5701
Tabletop Fire Pit,Compact and stylish indoor/outdoor fire pit for ambiance.,79.99,4107
High-Quality Yoga Block,Foam yoga block for enhancing poses and stability.,12.99,2958
Pineapple Chunks (canned),Sweet pineapple chunks in syrup.,2.29,582
Pet Safety Harness,Comfortable harness designed to keep pets safe in the car.,24.99,2221
Tomatillo Salsa,Tangy salsa made from tomatillos and peppers.,3.29,5331
Silicone Stretch Lids,Reusable silicone lids for covering food in bowls and storage containers.,14.99,3596
Green Smoothie Mix,A convenient powder mix combining greens and fruits for smoothies.,5.99,5569
Electric Heat Pad,Microwaveable heat pad for soothing muscle aches.,24.99,419
Paint By Numbers Kit,Relaxing paint kit with pre-printed canvas for painting.,24.99,5970
Adjustable Garden Rake,Heavy-duty rake with adjustable width for different gardening needs.,22.99,744
Organic Quinoa Chips,"Light and crispy chips made from quinoa, ideal for dipping.",3.99,5346
Stick Vacuums Cleaner,Cordless vacuum cleaner for quick clean-ups.,129.99,6756
Dog Training Whistle,High-frequency whistle for training your dog effectively.,8.99,8785
Beef Stroganoff Mix,Everything you need to create a hearty beef stroganoff.,5.49,2772
Bamboo Bathtub Caddy,"Expandable caddy for holding books, phones, and snacks while in the bath.",34.99,6621
Adjustable Standing Desk,Ergonomic desk that adjusts height for standing or sitting.,299.99,2101
Garden Vegetable Soup,"A hearty soup filled with vegetables and herbs, perfect for a light meal.",3.29,6810
Blackberry Compote,"Sweet blackberry compote, perfect for topping desserts.",5.29,656
Almond Butter Cookies,Soft cookies made with almond butter,4.49,9057
Active Racerback Tank,Lightweight and moisture-wicking racerback tank for workouts.,24.99,9046
Sports Bottle,BPA-free sports bottle with flip-top lid.,15.99,9087
Walnut Halves,Fresh walnut halves for baking or snacking.,8.49,6973
Acoustic Guitar,Beginner-friendly acoustic guitar with natural finish.,199.99,3500
Pork Chops,"Tender and juicy pork chops, perfect on the grill.",9.49,6361
Coconut Curry Sauce,A flavorful sauce made with coconut milk and spices.,3.89,5069
Surimi Crab Sticks,"Synthetic crab meat sticks, great for salads and sushi.",4.19,3491
Ultraviolet Phone Sanitizer,UV sanitizer that kills germs on your smartphone.,39.99,331
Italian Breadsticks,Crispy breadsticks seasoned with herbs and garlic.,2.49,6869
Homestyle Beef Stew,"Hearty beef stew with vegetables, ready to heat and serve.",7.99,164
Eco-Friendly Yoga Blocks,Sustainable foam blocks for yoga practice.,15.99,3483
Electric Skillet,Versatile electric skillet for stir-frying and searing.,49.99,2409
Aeropress Coffee Maker,Portable coffee maker for rich brews on the go.,29.99,4868
Magnetic Screen Door,Keep bugs out while allowing fresh air in during summer.,24.99,3808
Cable Knit Beanie,A cozy cable knit beanie to keep your head warm in winter.,19.99,3114
Creamy Garlic Mashed Potatoes,Rich and buttery mashed potatoes with roasted garlic.,3.99,5187
Pomegranate Juice,"Fresh pomegranate juice, rich in antioxidants.",4.49,9335
Spicy Hummus,"Creamy hummus with a kick of spice, great for dipping.",3.49,6691
Kale Salad Kit,"Ready-to-eat salad with kale, lemon, and cheese.",4.99,9313
Organic Vanilla Bean Ice Cream,"Creamy ice cream made with real vanilla beans, perfect for desserts.",5.99,9949
Elegant Maxi Skirt,Float through the day in this beautiful floor-length skirt.,44.99,2596
Infrared Space Heater,Energy-efficient infrared heater for home use.,99.99,2257
Chilli Lime Corn on the Cob,Corn on the cob seasoned with chili and lime for a spicy kick.,1.99,2218
Smart Light Switch,Control lights remotely with this smart switch.,29.99,3504
Chilli Lime Corn on the Cob,Corn on the cob seasoned with chili and lime for a spicy kick.,1.99,1120
Beef Sirloin Steak,"Juicy and tender beef sirloin steak, grass-fed.",15.99,5358
Fitbit Activity Tracker,Advanced wristband that tracks daily activities and sleep.,99.99,127
Infrared Thermometer,Non-contact thermometer for checking temperatures instantly.,39.99,4699
Nutty Quinoa Salad,"A delicious salad with quinoa, nuts, and cranberries.",4.99,6006
Blueberry Muffin Mix,Make delightful blueberry muffins at home with this easy mix.,4.29,7902
Vegetable Spring Rolls,Crispy spring rolls filled with vegetables,6.49,2240
Gardening Kneeler and Seat,Foldable kneeler that doubles as a seat for gardening convenience.,39.99,7768
Wall-Mounted Organizer,Practical organizer for keeping your home tidy and clutter-free.,34.99,8564
Smart LED Desk Lamp,Adjustable lamp with multiple brightness levels and colors.,39.99,4786
Repair Tool Set for Home Improvement,Small toolkit with essentials for home repairs.,29.99,3216
Peanut Butter Granola,Crunchy granola full of peanut butter flavor and oats.,4.99,7169
Car Vacuum,Portable car vacuum cleaner with strong suction.,49.99,8320
Sooji (Semolina),"Fine semolina flour, perfect for pasta and desserts.",1.99,4604
Electric Griddle with Removable Plates,Non-stick surface for easy cooking and cleaning.,59.99,9980
Wooden Blocks,Classic wooden building blocks for toddlers.,24.99,5976
Honey BBQ Riblets,"Tender riblets coated in a honey barbecue glaze, perfect for grilling or baking.",12.99,5005
Beach Cover-Up,"Lightweight cover-up perfect for the beach, with a breezy design.",29.99,739
Hibiscus Tea Bags,Herbal tea bags made from dried hibiscus flowers.,3.79,9192
Adjustable Bar Stools,Stylish bar stools with adjustable height and swivel features.,149.99,588
Personal Blender with Travel Lid,Blender designed for smoothies and shakes on the go.,34.99,1412
Portable Camping Shower,Convenient shower system for camping and outdoor activities.,39.99,2612
Safety First Aid Kit,Comprehensive first aid kit for home or travel emergencies.,29.99,4785
Scent Diffuser Oil,Essential oil blends for a soothing atmosphere in your home.,14.99,3466
Thai Red Curry Paste,Spicy and flavorful curry paste for authentic Thai dishes.,3.99,7652
Stuffed Grape Leaves,"Grape leaves stuffed with rice and herbs, ready to eat.",5.79,642
Comfortable Bed Pillow,Supportive pillow designed for a good night's sleep.,24.99,5026
Oven-Baked Chicken Tenders,"Crispy and juicy chicken tenders, perfect for dipping.",6.99,6073
Deluxe First Aid Kit,Comprehensive first aid kit for home and travel.,39.99,2176
Bluetooth Tracker,Smart tracker to locate keys or other items via app.,19.99,6991
Digital Meat Thermometer,Instant-read thermometer for precise cooking temperatures.,24.99,8397
Chicken Sausage,"Flavorful chicken sausage, low in fat and fully cooked.",6.99,8378
Pocket Blanket,"Compact, waterproof blanket for picnics and events.",24.99,7557
Peanut Butter Banana Smoothie Mix,"Smoothie mix combining peanut butter and banana, great for a quick breakfast.",4.49,7540
Jigsaw Puzzle,500-piece jigsaw puzzle featuring beautiful scenery.,14.99,3967
Reclining Camping Chair,Foldable reclining camping chair with cup holder.,49.99,8695
Kids' Activity Book,Fun book filled with puzzles and games for kids.,14.99,8990
Portable Hand Warmer,Rechargeable hand warmer for cold weather comfort.,24.99,1265
Dog Car Seat Cover,Waterproof cover to protect car seats from pet hair and dirt.,39.99,7834
