nombre,descripcion,precio,stock
Sweet Potatoes (organic),"Fresh organic sweet potatoes, great for roasting or mashing.",1.99,8596
Chili Powder,Spicy chili powder to add heat to dishes.,2.09,8232
Cajun Seasoning,Spicy seasoning mix for all your favorite dishes.,1.99,282
Sourdough Bread,Artisan-made sourdough bread with a tangy flavor.,4.99,3426
Lemon Dill Salmon,"Salmon fillets seasoned with lemon and dill, perfect for grilling.",9.99,9391
Electric Wax Warmer,Wax warmer for creating a soothing atmosphere with fragrances.,22.99,4531
Savory Trail Mix,"A blend of nuts, seeds, and spices for a healthy snack.",4.29,8613
Electric Food Steamer,Electric food steamer for healthy cooking.,59.99,3809
Bamboo Bathtub Caddy,"Expandable caddy for holding books, phones, and snacks while in the bath.",34.99,6774
Noise Reduction Headphones,Passive noise reduction headphones for focus.,39.99,8861
Caramel Sauce,Rich sauce for desserts and ice cream.,3.49,2854
Window Bird Feeder with Suction Cups,Clear feeder that attaches to windows for bird watching.,28.99,3847
Fire Roasted Salsa,Salsa made with fire-roasted tomatoes for an authentic flavor.,2.49,8396
Portable Air Conditioner,Compact air conditioner for personal cooling.,299.99,3522
Bluetooth Sleep Headphones,Comfortable wireless headphones designed for sleeping.,29.99,8754
Asian Stir-Fry Vegetables,Frozen mix of colorful stir-fry veggies.,2.99,3507
Electric Nail File Kit,Professional-grade nail care set for manicures and pedicures.,34.99,1343
Butternut Squash Ravioli,"Delicate ravioli filled with roasted butternut squash and spices, perfect with a sage butter sauce.",6.29,7727
Maple Chipotle Glaze,A sweet and spicy glaze that's perfect for grilling or marinades.,3.49,5468
Jigsaw Puzzle,500-piece jigsaw puzzle featuring beautiful scenery.,14.99,8094
Waterproof Rain Boots,Stay dry with these stylish waterproof rain boots.,69.99,6658
Hiking Gaiters,Protective gaiters to keep dirt and debris out of shoes during hikes.,29.99,7550
Baby Monitor,Video baby monitor with night vision.,79.99,2488
Electric Nail File Kit,Professional-grade nail care set for manicures and pedicures.,34.99,9133
Oven-Baked Sweet Potato Fries,"Crispy sweet potato fries, perfectly seasoned and baked to perfection.",3.99,8737
Red Lentils,Nutritious and quick-cooking red lentils.,1.99,4161
Coconut Curry Chicken,"Tender chicken cooked in a rich coconut curry sauce, ready to heat and serve.",9.99,6637
Garlic and Herb Rub,A seasoning blend of garlic and herbs to enhance any dish.,2.29,6560
Coconut Macaroons,"Chewy cookies made with coconut, perfect for sweet cravings.",4.99,9527
Vegan Tacos,Frozen vegan tacos filled with plant-based protein and spices.,7.49,7369
Smartphone Projector,DIY projector that magnifies your smartphone screen for movie nights.,29.99,1364
Deep Tissue Massage Gun,Rechargeable massage gun for relieving muscle soreness.,89.99,9934
Pet Travel Carrier,Comfortable carrier for small pets during travel.,39.99,5044
Organic Whole Wheat Flour,High-quality whole wheat flour for baking and cooking.,2.99,5163
Cranberry Pecan Granola,Crunchy granola with cranberries and pecans.,3.99,106
Cinnamon Sugar Donuts,Delicious mini donuts dusted with cinnamon sugar.,4.99,5061
Wireless Printer,Compact wireless printer for home use.,99.99,6477
Stuffed Bell Peppers,Bell peppers stuffed with rice and vegetables,5.99,5470
Halloween Decoration Set,Fun decorations for Halloween to set a spooky atmosphere.,29.99,3983
Self-Watering Planters,Planters with a self-watering feature for easy care.,49.99,1210
Car Emergency Kit,Comprehensive emergency kit for roadside assistance.,49.99,6389
Roasted Red Pepper Hummus,A creamy and flavorful hummus made with roasted red peppers.,3.49,5273
Stylish Wireless Earbuds,True wireless earbuds with excellent sound quality.,59.99,6261
Lemonade Mix,Sweetened powder for refreshing lemonade.,1.99,3776
Hydration Backpack,Lightweight backpack with an insulated water reservoir for hydration on the go.,39.99,8626
Crispy Potato Tots,"Golden brown potato tots, crispy on the outside and fluffy inside.",3.69,1477
Cilantro Lime Rice,"Easy-to-prepare rice with cilantro and lime flavors, great as a side.",2.99,6500
Pumpkin Spice Muffins,Moist and flavorful muffins packed with fall spices and pumpkin puree.,3.99,5312
Sunglasses Case,Hard-shell case for protecting sunglasses.,15.99,4076
Chocolate Dipped Fruit,"Fruits dipped in rich chocolate, perfect for desserts.",5.99,3294
Honey mustard chicken tenders,Golden crispy chicken tenders coated with honey mustard flavor.,7.99,8955
Luminous Night Light,Soft glow night light for children's rooms or bedside.,15.99,3925
Ergonomic Mouse Pad with Wrist Support,Comfortable mouse pad designed to reduce wrist strain.,14.99,8661
Robot Vacuum Cleaner,Smart robotic vacuum for automatic cleaning.,299.99,2322
Terry Cloth Robe,"Soft and comfortable robe, perfect for lounging at home.",59.99,8443
Thyme,"Fresh thyme, perfect for seasoning dishes.",2.49,4856
Bamboo Toothbrush,Eco-friendly bamboo toothbrush for sustainable living.,5.99,1386
Silicone Cooking Utensils Set,Non-stick and heat-resistant utensils for cooking.,34.99,5061
Wireless Charger Stand,Convenient charging stand for smartphones and devices.,24.99,2382
Sweetened Condensed Milk,Rich and creamy milk perfect for baking or desserts.,1.89,9730
French Onion Dip,"Creamy dip made with real onions and spices, great for chips and veggies.",2.99,5092
Self-Watering Planter,Planter with self-watering feature for easy plant care.,24.99,8914
Mini Cordless Vacuum Cleaner,Handheld vacuum cleaner for quick and easy cleaning.,45.99,1099
Fitness Jump Rope with LCD Counter,Weighted jump rope that counts jumps and calories burned.,15.99,3840
Compact Folding Table,Versatile folding table great for events or outdoor activities.,49.99,602
Lemon Garlic Marinade,"A zesty marinade made with lemon juice and garlic, ideal for chicken or fish.",4.29,9589
Sweet Chili Dipping Sauce,A sweet and spicy sauce ideal for spring rolls or chicken nuggets.,2.99,4607
Nordic Berry Smoothie,Frozen smoothie blend with berries for a quick and healthy breakfast.,3.99,5776
Fried Rice,"Pre-cooked vegetable fried rice, just heat and serve.",4.29,6855
Smart WiFi Plug,Control appliances remotely using your smartphone.,19.99,1564
Pet Tracking Collar,GPS pet collar that helps locate your pet via smartphone app.,59.99,9138
Kids' Science Experiment Kit,Engaging kit with science experiments for children.,29.99,6696
Yoga Mat Carrier,Convenient carrier for transporting yoga mat.,12.99,1042
Sweet Potato Chips,"Deliciously crunchy sweet potato chips, seasoned to perfection.",2.99,146
Cotton Pajama Set,Soft cotton pajama set for cozy nights in.,49.99,8177
Adjustable Yoga Mat Strap,Convenient strap for carrying yoga mats to class.,14.99,4500
Collapsible Water Bottle,Space-saving collapsible bottle for outdoor activities.,12.99,7960
Camera Lens Cleaning Kit,Complete cleaning kit for camera lenses.,14.99,6716
Magnetic Whiteboard,Reusable whiteboard for notes and reminders with magnetic backing.,34.99,6463
Fitness Resistance Bands Set,Variety of bands suitable for all fitness levels.,34.99,3124
Nutty Trail Mix,"A blend of nuts, seeds, and dried fruits for snacking.",4.29,3664
Habanero Hot Sauce,Fiery hot sauce made with fresh habaneros and spices.,3.79,4970
Vintage Graphic Tee,Retro-style graphic tee with a soft wash for a vintage feel.,25.99,250
Safety Goggles,Protective goggles for DIY and construction work.,14.99,3492
Caribbean Jerk Marinade,A spicy marinade perfect for chicken and fish.,3.79,7441
Himalayan Pink Salt,"Natural mineral salt with a subtle flavor, ideal for cooking and seasoning.",1.99,5917
Kids' Dinosaur-Themed Lunchbox,Fun lunchbox for kids with a sturdy design.,19.99,1221
Bamboo Memory Foam Pillow,Ergonomically designed pillow with breathable bamboo cover.,34.99,8403
Handheld Vacuum,Cordless handheld vacuum for quick cleanups.,79.99,284
Adjustable Resistance Bands,Set of resistance bands for versatile strength training workouts.,39.99,2121
Portable Charcoal Grill,Compact charcoal grill perfect for tailgating.,89.99,9364
Vegetable Chips,Crispy and crunchy snack made from assorted vegetables.,3.99,5936
Teriyaki Beef Jerky,Savory and chewy beef jerky with teriyaki flavor.,5.49,6236
Safety First Aid Kit,Comprehensive first aid kit for home or travel emergencies.,29.99,1035
Chicken Salad Kit,All-in-one kit for making delicious chicken salad.,5.99,7098
Graphic Print Leggings,"Trendy leggings with a unique graphic print, versatile for workouts and casual wear.",29.99,7193
Car Windshield Sun Shade,Protects car interior from sun damage and heat.,19.99,7076
Chicken Breasts,Juicy and tender boneless chicken breasts.,9.99,1136
V-Neck Sweater,Classic V-neck sweater crafted from soft wool for warmth and style.,49.99,3836
Frozen Burritos,Easy-to-heat frozen burritos for a quick meal.,8.99,4897
Sweet and Sour Sauce,Perfect dipping sauce or stir-fry addition for a sweet and tangy flavor.,2.79,5715
Organic Tomato Ketchup,"Classic ketchup made from organic tomatoes, no added sugar.",3.49,9991
Baked Potato Chips,"Light and crispy baked chips, a healthier snack option.",2.49,5499
Blue Denim Jeans,Classic fit blue jeans with a slight stretch for comfort and durability.,49.99,7085
Chili Beans (canned),"Canned beans with chili sauce, perfect for chili dishes.",1.69,8320
Wooden Blocks,Classic wooden building blocks for toddlers.,24.99,8412
Dried Mango Slices,"Sweet and chewy dried mango slices, perfect for snacking.",3.49,586
Glass Food Containers,BPA-free glass containers for safe food storage.,34.99,8850
Infrared Thermometer,Non-contact thermometer for checking temperatures instantly.,39.99,2033
Stylish Combat Boots,Bold combat boots that make a statement with any outfit.,99.99,9730
Sports Water Bottle with Infuser,Bottle that allows you to infuse your water with fruits.,19.99,9658
Eco-Friendly Notepad,Notepad made from recycled paper for sustainable note-taking.,8.99,2822
Zesty Garlic Hummus,Creamy chickpea dip infused with zesty garlic flavor.,3.99,4258
Scented Soy Candles,Hand-poured candles made of natural soy wax.,19.99,6107
Black Olives,"Sliced black olives, perfect for salads and pizzas.",1.99,2582
Athletic Sports Bra,"Supportive sports bra designed for high-impact workouts, made with moisture-wicking fabric.",24.99,7405
Outdoor Portable Fire Pit,Compact fire pit for campfires and gatherings.,149.99,2824
Hot Dog Buns,Soft buns perfect for stuffing with your favorite hot dogs.,2.49,6469
Chocolate Covered Pretzels,"Crunchy pretzels coated in rich chocolate, a sweet treat.",3.29,4288
BBQ Sauce,"A smoky barbecue sauce, ideal for grilling and dipping.",3.49,1129
Memory Foam Mattress Topper,3-inch memory foam mattress topper for added comfort.,109.99,9819
Honey Mustard Dip,Sweet and tangy honey mustard dip for snacks.,3.29,5990
Hand Mixer,Compact hand mixer for easy baking.,29.99,6149
Shredded Cheese,"Blend of cheddar and mozzarella cheese, great for recipes.",4.29,6156
Portable Grill Cover,Durable cover to protect your grill from the elements.,24.99,1030
Bluetooth Sleep Headphones,Comfortable wireless headphones designed for sleeping.,29.99,7643
Travel Pillow with Memory Foam,Ergonomically designed neck pillow for comfortable travel.,29.99,2444
Cocktail Shaker and Mixing Glass Set,Complete set for mixing cocktails at home.,39.99,3853
Free-Range Eggs,Fresh eggs from free-range chickens.,3.99,8442
Savory Breakfast Sausage,"Frozen sausage patties made with herbs and spices, perfect for breakfast sandwiches.",6.49,1005
Mediterranean Olives,A mix of brined Mediterranean olives for snacking.,6.49,7562
Canvas High-Top Sneakers,Trendy high-top canvas sneakers for a stylish streetwear look.,49.99,8611
Almond Joy Bars,Chocolate-covered candy bars with coconut and almonds.,1.29,551
Organic Green Lentils,"Nutty flavored lentils, perfect for soups and salads.",3.99,2226
Fresh Lemons,Citrusy lemons perfect for drinks and cooking.,0.75,5595
Basic V-Neck T-Shirt,A staple v-neck t-shirt that pairs well with anything.,19.99,1582
Electric Meat Grinder,Powerful grinder for making sausage and burgers at home.,89.99,5790
Gardening Tool Belt,Convenient belt with pockets for easy access to tools while gardening.,22.99,4348
Travel Hair Straightener,Compact hair straightener for travel.,29.99,8498
Portable Laptop Table,Foldable table for working with laptops anywhere.,39.99,7754
Honey Garlic Shrimp,"Shrimp marinated in a honey garlic sauce, ready to cook.",8.49,3808
Chocolate Fudge Ice Cream,Rich and creamy chocolate fudge ice cream for dessert.,5.99,9396
Peanut Butter Banana Smoothie Mix,"Smoothie mix combining peanut butter and banana, great for a quick breakfast.",4.49,1853
Portable Jump Starter,Compact jump starter for emergency vehicle starts.,59.99,9646
Reusable Food Storage Bags,Eco-friendly silicone bags for food storage and snacks.,19.99,6667
Salsa,"Fresh and zesty salsa, perfect for nachos.",3.49,1232
Set of Silicone Cooking Utensils,Non-stick utensils for safe and easy cooking.,29.99,5891
Portable Ice Maker,Compact ice maker for creating ice at home or in offices.,199.99,2998
Graphic Print Leggings,"Trendy leggings with a unique graphic print, versatile for workouts and casual wear.",29.99,1206
Frozen Salmon Filets,"Wild-caught salmon filets, perfect for grilling or baking.",12.99,6446
Vanilla Ice Cream,"Creamy and rich vanilla ice cream, a classic dessert.",4.99,4507
Raisin Cinnamon Granola,Crunchy granola with raisins and cinnamon for a delightful breakfast.,3.79,9883
Sesame Garlic Stir-Fry Sauce,A flavorful sauce for stir-frying vegetables and meats.,2.79,9561
Peach Halves (canned),"Sweet peach halves packed in juice, great for desserts.",2.49,6197
Puffer Winter Coat,A warm and stylish puffer coat perfect for winter weather.,99.99,6011
Voice-Controlled Speaker,Smart speaker with Alexa and music streaming features.,99.99,8696
Car Escape Tool,Multi-functional tool for emergency situations in the car.,12.99,6074
Italian Sausage Links,Savory sausage links seasoned with Italian spices.,5.99,3884
Almond Milk Yogurt,"Creamy yogurt made from almond milk, vegan-friendly.",1.99,197
Magnetic Phone Case,Stylish case with magnetic closure for smartphones.,19.99,9608
Bicycle Lock,Heavy-duty bicycle lock for security.,29.99,9836
Portable Bluetooth Headphones,Wireless headphones with noise-canceling features.,79.99,1258
Surimi Crab Sticks,"Synthetic crab meat sticks, great for salads and sushi.",4.19,9552
Trackpad for Laptop,Wireless trackpad for enhanced laptop navigation.,49.99,9712
Trendy Bomber Jacket,A fashion-forward bomber jacket to elevate your casual looks.,69.99,9843
Fitness Jump Rope,Durable jump rope for cardio workouts.,15.99,9830
Apple Pie Filling,"Sweet and spiced apple filling, perfect for pies.",3.49,6191
Roasted Garlic Butter,A flavorful spread made with roasted garlic and creamy butter.,3.29,8414
Compact Shoe Rack,Space-efficient shoe rack to keep entryways organized.,34.99,8490
Coconut Milk,Rich coconut milk for curries and desserts.,2.49,3408
LED Christmas Lights,Eco-friendly LED lights for festive decorations.,29.99,8830
Kids' Building Blocks,Colorful building blocks for creative play.,19.99,2002
Roasted Sweet Corn,Sweet corn roasted to perfection for a delightful side.,1.99,3505
Whole Wheat Pita Bread,"Soft and fluffy whole wheat pita bread, great for wraps.",2.79,1596
Wireless HDMI Transmitter,Stream HD video wirelessly to your TV.,79.99,9871
Miso Soup Starter,Miso paste for making traditional Japanese miso soup.,2.99,6482
Insulated Cooler,Leak-proof cooler bag ideal for picnics and camping.,39.99,204
Coconut Cream Pie Mix,"Creamy, sweet pie mix to make the perfect coconut cream pie.",4.99,3848
Herbed Mushroom Risotto,"Creamy risotto made with mushrooms and herbs, perfect as a side dish or main course.",5.49,9968
Sunglasses Case,Hard-shell case for protecting sunglasses.,15.99,4207
Smartphone Hand Grip,Sturdy grip to hold your phone securely while taking selfies.,9.99,5666
Pet Water Fountain,Automatic water fountain for pets with filtration.,39.99,6059
Tandoori Chicken Skewers,Marinated chicken skewers infused with traditional tandoori spices.,7.99,8089
Sriracha Chili Sauce,Spicy chili sauce with garlic and sugar for a flavor kick.,2.79,941
Pumpkin Waffles,Delicious waffles infused with pumpkin and spices.,4.49,6888
Chunky Knit Sweater,Cozy oversized sweater perfect for chilly days with a textured knit design.,59.99,8733
Pet Waterer with Filtration,Automatic waterer that filters and provides fresh drinking water for pets.,39.99,6014
Tuna Fish (canned),"Wild-caught tuna in olive oil, perfect for salads.",2.29,40
Smartphone Tripod with Remote,Adjustable tripod with remote shutter for smartphones.,29.99,8350
Luxury Yoga Mat,"High-density, non-slip yoga mat for stability and comfort.",39.99,567
Miso Dressing,Flavorful dressing made with miso paste,3.49,2562
Vegan Tacos,Frozen vegan tacos filled with plant-based protein and spices.,7.49,8194
Italian Meatballs,"Juicy meatballs made with a blend of beef and pork, seasoned with Italian herbs.",8.49,8876
Multi-Purpose Plant Care Tool,"All-in-one tool for measuring soil moisture, light, and pH.",24.99,283
Sweet Potato Noodles,"Pasta alternative made from sweet potatoes, gluten-free and rich in flavor.",3.79,9294
Interchangeable Watch Bands,Set of stylish watch bands to customize your look.,24.99,9662
Spicy Roasted Nuts,"A mix of nuts roasted with spicy seasonings, perfect for snacking.",4.99,5580
Ground Turkey,"Lean and versatile ground turkey, perfect for various dishes.",5.49,6908
Stainless Steel Cutlery Set,High-quality cutlery set for daily use or special occasions.,29.99,2924
Organic Coconut Sugar,"A natural sweetener made from coconut sap, a healthier alternative to sugar.",4.19,8176
Honey Garlic Chicken,Tender chicken coated in a sweet and savory honey garlic sauce.,8.49,5551
Sports Bottle,BPA-free sports bottle with flip-top lid.,15.99,7082
Chickpea Flour,"Gluten-free flour made from ground chickpeas, great for cooking.",3.29,9245
Maple Breakfast Sausage,Savory sausage links with a hint of maple flavor.,5.99,2264
Roasted Garlic Pasta Sauce,A flavorful pasta sauce made with roasted garlic.,4.99,2784
Basil-infused Olive Oil,Extra virgin olive oil infused with fresh basil.,6.99,1641
Nutty Quinoa Salad,"A delicious salad with quinoa, nuts, and cranberries.",4.99,9273
Phone Screen Protector,Tempered glass screen protector for smartphones.,12.99,3678
Coconut Bowls Set,Handmade eco-friendly bowls made from real coconuts.,22.99,2248
Portable Grill Cover,Durable cover to protect your grill from the elements.,24.99,3696
Basil Pesto Pasta,"Pasta tossed with fresh basil pesto, simple and delicious.",6.49,7327
Chocolate Fudge Ice Cream,Rich and creamy chocolate fudge ice cream for dessert.,5.99,2189
Smoked Paprika,Add a smoky flavor to your dishes.,2.99,564
High-Waisted Skirt,"Chic high-waisted skirt, perfect for professional or casual settings.",34.99,4397
Pumpkin Pie Spice,A blend of spices that brings the taste of fall to your baked goods.,2.99,7376
Dual Function Electric Skillet,"Skillet that can fry, grill, and sauté with ease.",59.99,467
Spinach and Cheese Quiche,Savory quiche loaded with spinach and cheese.,5.49,9361
Carrot Sticks,"Freshly cut carrot sticks, perfect for snacking.",2.49,9772
Kids' Learning Tablet,Educational tablet designed for preschool-age children.,129.99,6508
Organic Cucumber,Fresh organic cucumber perfect for salads or snacking.,1.29,6233
Strawberry Rhubarb Jam,"A sweet and tart jam, perfect on toast or in desserts.",4.29,333
Organic Cucumber,Fresh organic cucumber perfect for salads or snacking.,1.29,9795
Set of Silicone Cooking Utensils,Non-stick utensils for safe and easy cooking.,29.99,1609
Organic Chia Seeds,Nutritious chia seeds great for smoothies,7.99,4136
Vegetable Sushi Rolls,Fresh sushi rolls filled with a variety of vegetables.,5.99,174
Shatterproof Wine Glasses,"Durable, unbreakable wine glasses for outdoor use.",24.99,5334
High-Speed Hand Blender,Powerful hand blender for soups and smoothies.,39.99,8289
Smart Plant Monitor,Device that tracks soil moisture and provides care tips.,24.99,8025
Balsamic Vinaigrette,Rich and tangy dressing perfect for salads.,2.69,5897
Pet Activity Tracker,GPS collar that monitors your pet's location and activity level.,59.99,3661
Chocolate Syrup,Rich chocolate syrup for ice cream or beverages.,2.99,2871
Crispy Tofu Bites,"Crispy on the outside, tender on the inside, perfect for stir-fries or salads.",4.99,5306
Pet Food Storage Container,Airtight container to keep pet food fresh.,24.99,6399
Eco-Friendly Yoga Blocks,Sustainable foam blocks for yoga practice.,15.99,7507
Luxury Memory Foam Mattress Topper,Adds extra comfort to your mattress for a better night's sleep.,129.99,1200
Cushion Covers,Set of decorative cushion covers for home decor.,35,4759
Striped Long Sleeve Shirt,A casual striped long sleeve shirt that's perfect for layering.,29.99,898
Digital Thermostat,Programmable digital thermostat for home heating.,59.99,2578
Wild Rice Pilaf,"A mix of wild rice with herbs and spices, ready to serve.",3.79,5480
Electric Wax Warmer,Wax warmer for creating a soothing atmosphere with fragrances.,22.99,6276
Wireless Printer,Compact wireless printer for home use.,99.99,1408
Spicy Tuna Salad,"Ready-to-eat tuna salad with a spicy kick, perfect for sandwiches.",4.49,3530
Electric Knife,Cordless electric knife for effortless slicing.,39.99,9878
Spicy Tuna Sushi Kit,Everything you need to make delicious spicy tuna rolls at home.,8.99,4879
Strawberry Rhubarb Jam,"A sweet and tart jam, perfect on toast or in desserts.",4.29,438
Magnet Travel Fridge Magnets,Fun tourist magnets from around the world for your fridge.,12.99,291
Chocolate Coconut Granola,"Crunchy granola with chocolate and coconut, great for breakfast or snacks.",3.79,3950
Organic Apples,Crisp and delicious organic apples.,1.89,7063
Yoga Wheel,Supportive yoga wheel for deep stretching and balance.,34.99,7723
Tattoo Kit,Complete tattoo kit for beginners and professionals.,99.99,6973
